path_length,solving_time,visited_nodes
50,11.034749999999999,1868293
56,5.32275,946944
56,17.08875,2868328
56,3.6194999999999995,674169
48,0.732,148289
50,3.4155,629472
52,59.976,9181614
52,1.5427499999999998,293662
50,42.835499999999996,6459740
52,18.14325,2913788
46,1.23675,232913
52,12.9675,2106970
42,0.21149999999999997,44386
48,0.0075,1892
48,2.65125,474909
48,5.3565000000000005,909977
44,1.9785,354637
56,83.3115,11935390
58,6.0555,1080100
60,157.07175,34013551
56,28.544249999999998,4314671
50,0.64425,133024
42,0.9015,178623
56,56.15175,7843846
52,2.97075,546695
54,16.2885,2636923
52,57.1065,7783648
50,6.909,1145976
44,0.58575,113515
56,122.05125000000001,15424168
48,0.49275,99721
52,26.4735,3923649
50,3.633,649071
56,44.58825,6422653
52,127.0815,15782920
60,148.64999999999998,29612726
56,17.34225,2658206
46,1.158,217349
48,11.9085,1892530
46,4.7985,813192
48,2.2365000000000004,406560
50,15.0615,2330673
48,0.6930000000000001,137231
56,0.22799999999999998,47985
54,10.82175,1717041
56,26.91075,3917680
56,52.154250000000005,6864389
56,11.6175,1809758
50,2.34075,421086
46,2.232,401456
